id_str,from_user,text,created_at,time,geo_coordinates,user_lang,in_reply_to_user_id_str,in_reply_to_screen_name,from_user_id_str,in_reply_to_status_id_str,source,profile_image_url,user_followers_count,user_friends_count,user_location,status_url,entities_str
796403166107631617,LindsEckert,@micahcohen write about it! And engage the possibility that poll aggregator and analysis sites may have negatively swayed the election.,Wed Nov 09 17:24:45 +0000 2016,09/11/2016 17:24:45,,en,137512415,micahcohen,427607527,796379713967181830,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/794688021408915457/PHDtPVsG_normal.jpg,458,461,"Atlanta, GA",http://twitter.com/LindsEckert/statuses/796403166107631617,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""micahcohen"",""name"":""Micah Cohen"",""id"":137512415,""id_str"":""137512415"",""indices"":[0,11]}],""urls"":[]}"
796401818993446912,Subartoo98,RT @micahcohen: So (asking for friend) what do you do if you're a politics editor who doesn't want to cover biggest political story in at l…,Wed Nov 09 17:19:24 +0000 2016,09/11/2016 17:19:24,,en,,,2416598010,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/633417714669715456/8vjvLPon_normal.jpg,121,164,,http://twitter.com/Subartoo98/statuses/796401818993446912,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""micahcohen"",""name"":""Micah Cohen"",""id"":137512415,""id_str"":""137512415"",""indices"":[3,14]}],""urls"":[]}"
796400713706434561,micahcoletti,@micahcohen admit you were wrong and try to figure out how to fix it for the next term.,Wed Nov 09 17:15:01 +0000 2016,09/11/2016 17:15:01,,en,137512415,micahcohen,29101162,796379713967181830,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/453205851718045696/uSnGrmqP_normal.jpeg,217,631,Home,http://twitter.com/micahcoletti/statuses/796400713706434561,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""micahcohen"",""name"":""Micah Cohen"",""id"":137512415,""id_str"":""137512415"",""indices"":[0,11]}],""urls"":[]}"
796400713706434561,micahcoletti,@micahcohen admit you were wrong and try to figure out how to fix it for the next term.,Wed Nov 09 17:15:01 +0000 2016,09/11/2016 17:15:01,,en,137512415,micahcohen,29101162,796379713967181830,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/453205851718045696/uSnGrmqP_normal.jpeg,217,631,Home,http://twitter.com/micahcoletti/statuses/796400713706434561,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""micahcohen"",""name"":""Micah Cohen"",""id"":137512415,""id_str"":""137512415"",""indices"":[0,11]}],""urls"":[]}"
796397747221864448,YAO_LOL,RT @micahcohen: So (asking for friend) what do you do if you're a politics editor who doesn't want to cover biggest political story in at l…,Wed Nov 09 17:03:13 +0000 2016,09/11/2016 17:03:13,,en,,,93130688,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://pbs.twimg.com/profile_images/549580176049205248/lFwE2ESC_normal.jpeg,4303,4345,,http://twitter.com/YAO_LOL/statuses/796397747221864448,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""micahcohen"",""name"":""Micah Cohen"",""id"":137512415,""id_str"":""137512415"",""indices"":[3,14]}],""urls"":[]}"
796396010851418112,tgb,@ForecasterEnten @NateSilver538 @ClareMalone @jodyavirgan @micahcohen Thx for keeping me sufficiently worried till the end. You folks rock,Wed Nov 09 16:56:19 +0000 2016,09/11/2016 16:56:19,,en,138141495,ForecasterEnten,8229952,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",http://pbs.twimg.com/profile_images/421694631458656256/JmNP-nf4_normal.png,169,274,Jersey City,http://twitter.com/tgb/statuses/796396010851418112,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""ForecasterEnten"",""name"":""(((Harry Enten)))"",""id"":138141495,""id_str"":""138141495"",""indices"":[0,16]},{""screen_name"":""NateSilver538"",""name"":""Nate Silver"",""id"":16017475,""id_str"":""16017475"",""indices"":[17,31]},{""screen_name"":""ClareMalone"",""name"":""Clare Malone"",""id"":43360950,""id_str"":""43360950"",""indices"":[32,44]},{""screen_name"":""jodyavirgan"",""name"":""Jody Avirgan"",""id"":286303032,""id_str"":""286303032"",""indices"":[45,57]},{""screen_name"":""micahcohen"",""name"":""Micah Cohen"",""id"":137512415,""id_str"":""137512415"",""indices"":[58,69]}],""urls"":[]}"
796395567819751426,bassmonkey5215,RT @micahcohen: So (asking for friend) what do you do if you're a politics editor who doesn't want to cover biggest political story in at l…,Wed Nov 09 16:54:34 +0000 2016,09/11/2016 16:54:34,,en,,,2953537054,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/667571518612840448/yPU3uwkU_normal.jpg,5,23,,http://twitter.com/bassmonkey5215/statuses/796395567819751426,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""micahcohen"",""name"":""Micah Cohen"",""id"":137512415,""id_str"":""137512415"",""indices"":[3,14]}],""urls"":[]}"
796393863225241600,tedglassPol,@micahcohen i also do not want to politic anymore. This is completely defeating. Not sure what America I would be fighting for anymore.,Wed Nov 09 16:47:47 +0000 2016,09/11/2016 16:47:47,,en,137512415,micahcohen,4870983498,796379713967181830,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",http://pbs.twimg.com/profile_images/696137307594752001/F5SYNQXi_normal.jpg,630,792,,http://twitter.com/tedglassPol/statuses/796393863225241600,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""micahcohen"",""name"":""Micah Cohen"",""id"":137512415,""id_str"":""137512415"",""indices"":[0,11]}],""urls"":[]}"
796391906330705920,PatrickGrigsby1,@micahcohen Come hang out with the rest of us lacking motivation/inspiration today. We're at the bar.,Wed Nov 09 16:40:01 +0000 2016,09/11/2016 16:40:01,,en,137512415,micahcohen,930726786,796379713967181830,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://pbs.twimg.com/profile_images/2816333713/b877ae63abe658a7ddd0e5896ee25d74_normal.jpeg,11,51,,http://twitter.com/PatrickGrigsby1/statuses/796391906330705920,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""micahcohen"",""name"":""Micah Cohen"",""id"":137512415,""id_str"":""137512415"",""indices"":[0,11]}],""urls"":[]}"
796391906330705920,PatrickGrigsby1,@micahcohen Come hang out with the rest of us lacking motivation/inspiration today. We're at the bar.,Wed Nov 09 16:40:01 +0000 2016,09/11/2016 16:40:01,,en,137512415,micahcohen,930726786,796379713967181830,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://pbs.twimg.com/profile_images/2816333713/b877ae63abe658a7ddd0e5896ee25d74_normal.jpeg,11,51,,http://twitter.com/PatrickGrigsby1/statuses/796391906330705920,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""micahcohen"",""name"":""Micah Cohen"",""id"":137512415,""id_str"":""137512415"",""indices"":[0,11]}],""urls"":[]}"
